NWCG_REPORTING_UNIT_NAME,DURATION,STAT_CAUSE_DESCR,FIRE_SIZE,LATITUDE,LONGITUDE
Riverside Unit,,Missing/Undefined,0.01,33.729194,-117.076367
Riverside Unit,,Miscellaneous,0.3,33.73194444,-117.085
Plumas National Forest,0,Debris Burning,0.1,40.1208333,-120.819444
San Bernardino National Forest,0,Miscellaneous,0.25,34.2591667,-116.949722
Fresno-Kings Unit,0,Missing/Undefined,0.1,36.718672,-119.329385
Butte Unit,,Miscellaneous,0.01,39.388636,-121.405339
Humboldt-Del Norte Unit,,Miscellaneous,0.1,40.693233,-124.1432
Nevada-Yuba-Placer Unit,,Debris Burning,1,39.21388888,-121.5111111
Riverside Unit,,Miscellaneous,0.1,33.81111111,-117.1288889
Santa Barbara County Fire Department,,Miscellaneous,0.3,34.69305555,-120.4319444
Angeles National Forest,0,Equipment Use,0.1,34.6480556,-118.751667
California Desert District,0,Missing/Undefined,2,33.934158,-117.034908
Riverside Unit,,Missing/Undefined,0.25,33.504021,-117.293278
Monte Vista Unit,,Debris Burning,0.01,33.283072,-117.121193
Merced-Mariposa Unit,,Debris Burning,0.3,37.185,-120.3830556
Merced-Mariposa Unit,,Children,0.3,37.31805555,-120.4369444
Nevada-Yuba-Placer Unit,,Equipment Use,0.1,38.97305555,-121.5430556
Nevada-Yuba-Placer Unit,,Equipment Use,0.1,39.20888888,-121.5969444
Shasta-Trinity Unit,,Miscellaneous,1,40.53194444,-122.3338889
Sierra National Forest,0,Debris Burning,0.01,37.2227778,-119.450556
San Bernardino Unit,,Missing/Undefined,0.01,37.390346,-118.395759
Amador-El Dorado Unit,,Debris Burning,0.01,38.787917,-120.706313
Riverside Unit,,Miscellaneous,0.3,33.61805555,-117.3038889
Angeles National Forest,0,Equipment Use,0.1,34.5475,-118.668611
Angeles National Forest,0,Equipment Use,0.1,34.5475,-118.668611
Inyo National Forest,0,Equipment Use,0.1,37.5205556,-118.608333
Angeles National Forest,0,Debris Burning,0.5,34.5811111,-118.680556
Sierra National Forest,177,Lightning,0.1,37.44,-119.608056
Southern California Agency,0,Miscellaneous,1,33.5692,-116.1542
San Bernardino National Forest,0,Miscellaneous,0.1,34.2375,-117.43
Cleveland National Forest,0,Campfire,0.1,32.905,-116.474444
Cleveland National Forest,0,Arson,0.1,32.8511111,-116.702778
Merced-Mariposa Unit,,Miscellaneous,0.1,37.02456,-119.947229
Angeles National Forest,0,Equipment Use,0.1,34.4997222,-118.626667
California Desert District,0,Miscellaneous,0.3,35.6203,-117.5867
Fresno-Kings Unit,,Miscellaneous,0.1,36.70805555,-119.6638889
Merced-Mariposa Unit,,Debris Burning,0.2,37.06888888,-120.31
Riverside Unit,,Children,1,33.69305555,-116.2080556
Angeles National Forest,0,Campfire,0.25,34.4480556,-118.016667
Sacramento River National Wildlife Refuge,0,Missing/Undefined,0.5,39.70805556,-121.9697222
Siskiyou Unit,,Arson,0.1,41.284001,-122.309685
Nevada-Yuba-Placer Unit,,Debris Burning,0.1,39.01805555,-120.8219444
Riverside Unit,,Miscellaneous,1,33.58388888,-116.0788889
Riverside Unit,,Miscellaneous,1,33.76111111,-116.3061111
Southern California Agency,0,Children,0.5,33.9492,-116.85
Central California District,0,Missing/Undefined,0.1,36.578997,-118.593597
Riverside Unit,,Missing/Undefined,1,33.794896,-117.272712
Lassen-Modoc Unit,,Debris Burning,0.05,40.294525,-120.531576
Riverside Unit,,Missing/Undefined,0.25,33.915487,-116.977636
San Luis Obispo Unit,,Equipment Use,0.01,35.111153,-120.563591
San Bernardino Unit,,Debris Burning,0.05,34.466553,-117.503102
Fresno-Kings Unit,,Miscellaneous,0.1,36.71305555,-119.76
Fresno-Kings Unit,,Miscellaneous,0.1,36.67805555,-119.7861111
Riverside Unit,,Equipment Use,0.3,33.93611111,-117.2188889
Eldorado National Forest,1,Arson,0.1,38.7130556,-120.469167
Merced-Mariposa Unit,0,Missing/Undefined,1,37.124438,-119.73701
Humboldt-Del Norte Unit,,Missing/Undefined,0.1,41.790683,-124.08245
Shasta-Trinity Unit,,Debris Burning,0.5,40.57492,-122.47811
Riverside Unit,,Miscellaneous,0.3,33.97111111,-117.5488889
Stanislaus National Forest,0,Debris Burning,1.5,38.0633333,-120.2625
Yosemite National Park,0,Smoking,0.1,37.74395,-119.55972
Santa Clara Unit,,Smoking,0.1,37.68700444,-121.6804853
San Benito-Monterey Unit,,Debris Burning,1,36.616363,-121.381314
Mendocino Unit,,Arson,0.25,39.599287,-123.78463
Monte Vista Unit,,Miscellaneous,0.5,33.04111111,-116.8761111
Riverside Unit,,Children,0.1,34.00611111,-117.405
San Diego National Wildlife Refuge,0,Railroad,0.1,32.68166667,-116.8488889
Monte Vista Unit,,Equipment Use,0.01,32.668011,-116.823407
Angeles National Forest,0,Arson,0.1,34.2988889,-118.248056
Nevada-Yuba-Placer Unit,0,Missing/Undefined,0.01,39.35008,-121.365612
San Bernardino National Forest,0,Campfire,0.1,33.6241667,-116.773056
California Desert District,0,Missing/Undefined,0.1,33.66525,-117.28419
Sonoma-Lake Napa Unit,,Debris Burning,0.12,38.654349,-122.466448
